38,628,1487,1923,2258,1896,2307,2225,2324,2320,2357,2516,2604,2594,2498,2385,2300
39,629,1482,1919,2262,1899,2310,2224,2324,2321,2361,2521,2605,2594,2500,2389,2303
40,591,1474,1918,2262,1901,2312,2229,2329,2325,2365,2526,2613,2600,2502,2391,2306
41,593,1471,1921,2261,1900,2312,2231,2330,2329,2368,2521,2611,2600,2502,2391,2307
42,630,1481,1919,2263,1899,2313,2229,2329,2328,2369,2524,2608,2594,2501,2391,2307
43,594,1470,1917,2261,1894,2309,2225,2325,2324,2362,2524,2608,2592,2495,2395,2307
44,592,1464,1916,2262,1892,2306,2223,2323,2324,2363,2518,2600,2590,2501,2391,2305
45,591,1469,1918,2261,1894,2308,2226,2327,2326,2365,2527,2612,2600,2500,2388,2305
46,593,1469,1919,2265,1899,2312,2228,2329,2329,2368,2524,2612,2600,2502,2392,2305
48,616,1478,1919,2266,1899,2311,2229,2331,2330,2369,2518,2609,2600,2504,2393,2308
48,615,1473,1914,2262,1895,2311,2228,2328,2329,2369,2523,2607,2594,2499,2391,2308
49,591,1468,1917,2261,1891,2307,2225,2325,2326,2365,2519,2604,2595,2501,2390,2304
50,591,1464,1912,2259,1889,2305,2224,2323,2324,2365,2528,2606,2591,2498,2388,2304
51,612,1465,1917,2263,1892,2305,2222,2323,2325,2365,2522,2604,2591,2504,2391,2306
52,629,1477,1919,2263,1895,2310,2226,2327,2327,2367,2526,2609,2598,2503,2393,2307
53,589,1467,1918,2264,1896,2312,2229,2331,2332,2370,2523,2609,2599,2504,2394,2310
54,628,1482,1920,2257,1889,2307,2226,2328,2329,2368,2517,2607,2599,2504,2393,2308
56,629,1480,1915,2260,1888,2304,2223,2324,2324,2365,2528,2609,2595,2497,2388,2305
56,615,1470,1916,2260,1885,2307,2223,2323,2323,2362,2525,2608,2590,2498,2388,2304
57,591,1462,1915,2263,1879,2304,2220,2322,2324,2362,2520,2605,2597,2502,2389,2302
58,629,1471,1920,2257,1884,2305,2223,2324,2323,2365,2530,2606,2592,2495,2397,2308
59,629,1481,1921,2258,1885,2309,2228,2329,2327,2367,2528,2611,2602,2500,2392,2307
60,629,1476,1914,2260,1884,2309,2226,2326,2326,2367,2531,2607,2595,2498,2390,2306
61,626,1477,1914,2260,1884,2305,2224,2324,2325,2365,2522,2606,2596,2501,2388,2302
62,614,1469,1916,2258,1883,2305,2225,2326,2323,2363,2523,2611,2597,2499,2388,2303
63,612,1467,1913,2260,1884,2309,2225,2324,2324,2364,2530,2605,2593,2495,2396,2309
64,628,1477,1916,2260,1889,2306,2225,2328,2326,2366,2529,2611,2601,2502,2392,2307
65,628,1476,1916,2262,1899,2312,2229,2330,2330,2370,2524,2607,2597,2504,2395,2311
66,593,1468,1917,2261,1897,2311,2230,2332,2331,2370,2519,2612,2603,2506,2394,2310
67,589,1463,1914,2261,1890,2306,2226,2328,2329,2368,2514,2605,2598,2503,2393,2309
68,612,1464,1914,2259,1888,2302,2229,2329,2329,2368,2515,2599,2589,2502,2392,2307
69,613,1466,1908,2253,1824,2276,2213,2313,2310,2351,2515,2603,2586,2480,2380,2291
70,628,1451,1903,2257,1953,2327,2231,2316,2343,2389,2541,2625,2638,2581,2417,2353
